r,t,y,NewCapacity
"REGION1","DEMAGRNGS",2026,0
"REGION1","DEMAGRNGS",2027,0
"REGION1","DEMAGRNGS",2028,0
"REGION1","DEMAGRNGS",2029,0
"REGION1","DEMAGRNGS",2030,0
"REGION1","DEMAGRNGS",2031,0
"REGION1","DEMAGRNGS",2032,0
"REGION1","DEMAGRNGS",2033,0
"REGION1","DEMAGRNGS",2034,0
"REGION1","DEMAGRNGS",2035,0
"REGION1","DEMAGRNGS",2036,0
"REGION1","DEMAGRNGS",2037,0
"REGION1","DEMAGRNGS",2038,0
"REGION1","DEMAGRNGS",2039,0
"REGION1","DEMAGRNGS",2040,0
"REGION1","DEMAGRNGS",2041,0
"REGION1","DEMAGRNGS",2042,0
"REGION1","DEMAGRNGS",2043,0
"REGION1","DEMAGRNGS",2044,0
"REGION1","DEMAGRNGS",2045,0
"REGION1","DEMAGRNGS",2046,0
"REGION1","DEMAGRNGS",2047,0
"REGION1","DEMAGRNGS",2048,0
"REGION1","DEMAGRNGS",2049,0
"REGION1","DEMAGRNGS",2050,0
"REGION1","DEMAGRELCB02",2020,0
"REGION1","DEMAGRELCB02",2021,0
"REGION1","DEMAGRELCB02",2022,0
"REGION1","DEMAGRELCB02",2023,0
"REGION1","DEMAGRELCB02",2024,0
"REGION1","DEMAGRELCB02",2025,0
"REGION1","DEMAGRELCB02",2026,0
"REGION1","DEMAGRELCB02",2027,0
"REGION1","DEMAGRELCB02",2028,0
"REGION1","DEMAGRELCB02",2029,0
"REGION1","DEMAGRELCB02",2030,0
"REGION1","DEMAGRELCB02",2031,0
"REGION1","DEMAGRELCB02",2032,0
"REGION1","DEMAGRELCB02",2033,0
"REGION1","DEMAGRELCB02",2034,0
"REGION1","DEMAGRELCB02",2035,0
"REGION1","DEMAGRELCB02",2036,0
"REGION1","DEMAGRELCB02",2037,0
"REGION1","DEMAGRELCB02",2038,0
"REGION1","DEMAGRELCB02",2039,0
"REGION1","DEMAGRELCB02",2040,0
"REGION1","DEMAGRELCB02",2041,0
"REGION1","DEMAGRELCB02",2042,0
"REGION1","DEMAGRELCB02",2043,0
"REGION1","DEMAGRELCB02",2044,0
"REGION1","DEMAGRELCB02",2045,0
"REGION1","DEMAGRELCB02",2046,0
"REGION1","DEMAGRELCB02",2047,0
"REGION1","DEMAGRELCB02",2048,0
"REGION1","DEMAGRELCB02",2049,0
