r,t,y,CapitalInvestment
"REGION1","DEMAGRDSL",2021,0.157757575757576
"REGION1","DEMAGRDSL",2022,0.164313131313131
"REGION1","DEMAGRDSL",2023,0.16820202020202
"REGION1","DEMAGRDSL",2024,0.177717171717172
"REGION1","DEMAGRDSL",2025,0.183242424242424
"REGION1","DEMAGRDSL",2026,0.189555555555556
"REGION1","DEMAGRDSL",2027,0.196262626262626
"REGION1","DEMAGRDSL",2028,0.203383838383838
"REGION1","DEMAGRDSL",2029,0.209333333333333
"REGION1","DEMAGRDSL",2030,0.216161616161616
"REGION1","DEMAGRDSL",2031,0.222828282828283
"REGION1","DEMAGRDSL",2032,0.229363636363636
"REGION1","DEMAGRDSL",2033,0.235848484848485
"REGION1","DEMAGRDSL",2034,0.242575757575758
"REGION1","DEMAGRDSL",2035,0.249111111111111
"REGION1","DEMAGRDSL",2036,0.255686868686869
"REGION1","DEMAGRDSL",2037,0.262282828282828
"REGION1","DEMAGRDSL",2038,0.26889898989899
"REGION1","DEMAGRDSL",2039,0.275454545454545
"REGION1","DEMAGRDSL",2040,0.282060606060606
"REGION1","DEMAGRDSL",2041,0.288646464646465
"REGION1","DEMAGRDSL",2042,0.295232323232323
"REGION1","DEMAGRDSL",2043,0.301818181818182
"REGION1","DEMAGRDSL",2044,0.308414141414141
"REGION1","DEMAGRDSL",2045,0.315
"REGION1","DEMAGRDSL",2046,0.321585858585858
"REGION1","DEMAGRDSL",2047,0.328181818181818
"REGION1","DEMAGRDSL",2048,0.334767676767677
"REGION1","DEMAGRDSL",2049,0.341353535353535
"REGION1","DEMAGRDSL",2050,0.347949494949495
"REGION1","DEMAGRNGS",2020,0
"REGION1","DEMAGRNGS",2021,0
"REGION1","DEMAGRNGS",2022,0
"REGION1","DEMAGRNGS",2023,0
"REGION1","DEMAGRNGS",2024,0
"REGION1","DEMAGRNGS",2025,0
"REGION1","DEMAGRNGS",2026,0
"REGION1","DEMAGRNGS",2027,0
"REGION1","DEMAGRNGS",2028,0
"REGION1","DEMAGRNGS",2029,0
"REGION1","DEMAGRNGS",2030,0
"REGION1","DEMAGRNGS",2031,0
"REGION1","DEMAGRNGS",2032,0
"REGION1","DEMAGRNGS",2033,0
"REGION1","DEMAGRNGS",2034,0
"REGION1","DEMAGRNGS",2035,0
"REGION1","DEMAGRNGS",2036,0
"REGION1","DEMAGRNGS",2037,0
"REGION1","DEMAGRNGS",2038,0
"REGION1","DEMAGRNGS",2039,0
"REGION1","DEMAGRNGS",2040,0
"REGION1","DEMAGRNGS",2041,0
"REGION1","DEMAGRNGS",2042,0
"REGION1","DEMAGRNGS",2043,0
"REGION1","DEMAGRNGS",2044,0
"REGION1","DEMAGRNGS",2045,0
"REGION1","DEMAGRNGS",2046,0
"REGION1","DEMAGRNGS",2047,0
"REGION1","DEMAGRNGS",2048,0
"REGION1","DEMAGRNGS",2049,0
"REGION1","DEMAGRNGS",2050,0
"REGION1","DEMAGRELCB02",2020,0
"REGION1","DEMAGRELCB02",2021,0
"REGION1","DEMAGRELCB02",2022,0
"REGION1","DEMAGRELCB02",2023,0
"REGION1","DEMAGRELCB02",2024,0
"REGION1","DEMAGRELCB02",2025,0
"REGION1","DEMAGRELCB02",2026,0
"REGION1","DEMAGRELCB02",2027,0
"REGION1","DEMAGRELCB02",2028,0
"REGION1","DEMAGRELCB02",2029,0
"REGION1","DEMAGRELCB02",2030,0
"REGION1","DEMAGRELCB02",2031,0
"REGION1","DEMAGRELCB02",2032,0
"REGION1","DEMAGRELCB02",2033,0
"REGION1","DEMAGRELCB02",2034,0
"REGION1","DEMAGRELCB02",2035,0
"REGION1","DEMAGRELCB02",2036,0
"REGION1","DEMAGRELCB02",2037,0
"REGION1","DEMAGRELCB02",2038,0
"REGION1","DEMAGRELCB02",2039,0
"REGION1","DEMAGRELCB02",2040,0
"REGION1","DEMAGRELCB02",2041,0
"REGION1","DEMAGRELCB02",2042,0
"REGION1","DEMAGRELCB02",2043,0
"REGION1","DEMAGRELCB02",2044,0
"REGION1","DEMAGRELCB02",2045,0
"REGION1","DEMAGRELCB02",2046,0
