r,l,f,y,Demand
"REGION1","SEA1D","RESNGS",2050,0
"REGION1","SEA1D","RESELCB02",2020,11.1705
"REGION1","SEA1D","RESELCB02",2021,11.4195
"REGION1","SEA1D","RESELCB02",2022,11.6565
"REGION1","SEA1D","RESELCB02",2023,11.919
"REGION1","SEA1D","RESELCB02",2024,12.1605
"REGION1","SEA1D","RESELCB02",2025,12.402
"REGION1","SEA1D","RESELCB02",2026,12.63
"REGION1","SEA1D","RESELCB02",2027,12.834
"REGION1","SEA1D","RESELCB02",2028,12.9855
"REGION1","SEA1D","RESELCB02",2029,13.125
"REGION1","SEA1D","RESELCB02",2030,13.2645
"REGION1","SEA1D","RESELCB02",2031,13.3815
"REGION1","SEA1D","RESELCB02",2032,13.5
"REGION1","SEA1D","RESELCB02",2033,13.6365
"REGION1","SEA1D","RESELCB02",2034,13.725
"REGION1","SEA1D","RESELCB02",2035,13.803
"REGION1","SEA1D","RESELCB02",2036,13.875
"REGION1","SEA1D","RESELCB02",2037,13.9455
"REGION1","SEA1D","RESELCB02",2038,14.0235
"REGION1","SEA1D","RESELCB02",2039,14.097
"REGION1","SEA1D","RESELCB02",2040,14.163
"REGION1","SEA1D","RESELCB02",2041,14.29365
"REGION1","SEA1D","RESELCB02",2042,14.38185
"REGION1","SEA1D","RESELCB02",2043,14.4699
"REGION1","SEA1D","RESELCB02",2044,14.55795
"REGION1","SEA1D","RESELCB02",2045,14.64615
"REGION1","SEA1D","RESELCB02",2046,14.7342
"REGION1","SEA1D","RESELCB02",2047,14.8224
"REGION1","SEA1D","RESELCB02",2048,14.91045
"REGION1","SEA1D","RESELCB02",2049,14.99865
"REGION1","SEA1D","RESELCB02",2050,15.0867
"REGION1","SEA1D","COMKER",2020,0
"REGION1","SEA1D","COMKER",2021,0
"REGION1","SEA1D","COMKER",2022,0
"REGION1","SEA1D","COMKER",2023,0
"REGION1","SEA1D","COMKER",2024,0
"REGION1","SEA1D","COMKER",2025,0
"REGION1","SEA1D","COMKER",2026,0
"REGION1","SEA1D","COMKER",2027,0
"REGION1","SEA1D","COMKER",2028,0
"REGION1","SEA1D","COMKER",2029,0
"REGION1","SEA1D","COMKER",2030,0
"REGION1","SEA1D","COMKER",2031,0
"REGION1","SEA1D","COMKER",2032,0
"REGION1","SEA1D","COMKER",2033,0
"REGION1","SEA1D","COMKER",2034,0
"REGION1","SEA1D","COMKER",2035,0
"REGION1","SEA1D","COMKER",2036,0
"REGION1","SEA1D","COMKER",2037,0
"REGION1","SEA1D","COMKER",2038,0
"REGION1","SEA1D","COMKER",2039,0
"REGION1","SEA1D","COMKER",2040,0
"REGION1","SEA1D","COMKER",2041,0
"REGION1","SEA1D","COMKER",2042,0
"REGION1","SEA1D","COMKER",2043,0
"REGION1","SEA1D","COMKER",2044,0
"REGION1","SEA1D","COMKER",2045,0
"REGION1","SEA1D","COMKER",2046,0
"REGION1","SEA1D","COMKER",2047,0
"REGION1","SEA1D","COMKER",2048,0
"REGION1","SEA1D","COMKER",2049,0
"REGION1","SEA1D","COMKER",2050,0
"REGION1","SEA1D","COMBIO",2020,0
"REGION1","SEA1D","COMBIO",2021,0
"REGION1","SEA1D","COMBIO",2022,0
"REGION1","SEA1D","COMBIO",2023,0
"REGION1","SEA1D","COMBIO",2024,0
"REGION1","SEA1D","COMBIO",2025,0
"REGION1","SEA1D","COMBIO",2026,0
"REGION1","SEA1D","COMBIO",2027,0
"REGION1","SEA1D","COMBIO",2028,0
"REGION1","SEA1D","COMBIO",2029,0
"REGION1","SEA1D","COMBIO",2030,0
"REGION1","SEA1D","COMBIO",2031,0
"REGION1","SEA1D","COMBIO",2032,0
"REGION1","SEA1D","COMBIO",2033,0
"REGION1","SEA1D","COMBIO",2034,0
"REGION1","SEA1D","COMBIO",2035,0
"REGION1","SEA1D","COMBIO",2036,0
"REGION1","SEA1D","COMBIO",2037,0
"REGION1","SEA1D","COMBIO",2038,0
"REGION1","SEA1D","COMBIO",2039,0
"REGION1","SEA1D","COMBIO",2040,0
"REGION1","SEA1D","COMBIO",2041,0
"REGION1","SEA1D","COMBIO",2042,0
"REGION1","SEA1D","COMBIO",2043,0
