,generation_unit_name,generation_unit_code,generation_facility_name,generation_facility_code,owner,province,location,latitude,longitude,elevation,copper_balancing_area,operating_region,connecting_node_name,connecting_node_code,connecting_voltage,start_year,previous_renewal_year,possible_renewal_year,closure_year,gen_type,gen_type_copper,unit_installed_capacity,facility_installed_capacity,capacity_adjustment,unit_effective_capacity,facility_effective_capacity,capacity_factor,unit_average_annual_energy,facility_average_annual_energy,generation_units_represented,total_facility_generation_units,notes
163,Oldman Wind,AB_OWF01_GEN,Oldman Wind,AB_OWF_GEN,Oldman 2 Wind Farm Limited,AB,Pincher Creek,49.570772,-113.853445,1109,Alberta.a,Alberta,Windy Point 112S,AB_112S_DSS,144,2013,2013,2043,,wind_ons,wind_ons,46.80,46.80,0.1600,7.49,7.49,0.3600,147.59,147.59,20,20,NULL
164,Pocaterra,AB_PCT00_GEN,Pocaterra,AB_PCT_GEN,TransAlta Corporation,AB,Kananaskis,50.699324,-115.119376,1654,Alberta.a,Alberta,Pocaterra 48S,AB_48S_GSS,144,1955,1955,2034,,hydro_run,hydro_run,12.00,12.00,0.1500,1.80,1.80,0.2400,25.23,25.23,1,1,NULL
165,Lindbergh,AB_PEC01_GEN,Lindbergh,AB_PEC_GEN,Pengrowth Energy,AB,Lindbergh,54.011195,-110.604851,660,Alberta.a,Alberta,Lindbergh 969S,AB_969S_GSS,144,2015,2015,2045,,NG_CG,NG_CC,16.00,16.00,0.9000,14.40,14.40,0.3000,42.05,42.05,1,1,NULL
166,Poplar Hill,AB_PHL01_GEN,Poplar Hill,AB_PHL_GEN,ATCO Power Canada Ltd.,AB,Grande Prairie,55.339001,-119.218608,734,Alberta.a,Alberta,Poplar Hill 790S,AB_790S_GSS,144,1998,1998,2028,,NG_SC,NG_SC,48.00,48.00,1.0000,48.00,48.00,0.3000,126.14,126.14,1,1,NULL
167,West Pembina,AB_PMB01_GEN,West Pembina,AB_PMB_GEN,Keyera,AB,Violet Grove,53.097950,-115.315701,929,Alberta.a,Alberta,West Pembina 477S,AB_477S_GSS,144,2020,2020,2050,,NG_SC,NG_SC,13.00,13.00,1.0000,13.00,13.00,0.3000,34.16,34.16,1,1,NULL
168,Primrose,AB_PRM01_GEN,Primrose,AB_PRM_GEN,ATCO Power Canada Ltd.,AB,Cold Lake,54.772825,-110.577608,675,Alberta.a,Alberta,Primrose 859S,AB_859S_GSS,144,1998,1998,2028,,NG_CG,NG_CC,75.00,75.00,0.9000,67.50,67.50,0.3000,197.10,197.10,1,1,NULL
169,Prairie Sunlight I,AB_PSN01_GEN,Prairie Sunlight I,AB_PSN_GEN,Solar Krafte Utilities,AB,Enchant,50.302808,-112.440871,799,Alberta.a,Alberta,Enchant 447S,AB_447S_DSS,138,2022,2022,2052,,solar_PV,solar,74.00,74.00,0.1000,7.40,7.40,0.1800,116.68,116.68,1,1,NULL
170,Prairie Sunlight III,AB_PSN03_GEN,Prairie Sunlight III,AB_PSN_GEN,Solar Krafte Utilities,AB,Vauxhall,50.098968,-112.107754,790,Alberta.a,Alberta,Vauxhall 158S,AB_158S_DSS,138,2020,2020,2050,,solar_PV,solar,22.00,22.00,0.1000,2.20,2.20,0.1800,34.69,34.69,1,1,NULL
171,Rainbow_05,AB_RBL05_GEN,Rainbow,AB_RBL_GEN,ATCO Power Canada Ltd.,AB,Rainbow Lake,58.447100,-119.238300,480,Alberta.a,Alberta,Rainbow Cogen 850S,AB_850S_GSS,144,2001,2001,2031,,NG_SC,NG_SC,45.00,45.00,1.0000,45.00,45.00,0.3000,118.26,118.26,1,1,NULL
172,Riverview,AB_RIV01_GEN,Riverview,AB_RIV_GEN,Enel,AB,Pincher Creek,49.556114,-113.962954,1257,Alberta.a,Alberta,Castle Rock Ridge 205S,AB_205S_GSS,240,2019,2019,2049,,wind_ons,wind_ons,117.60,117.60,0.1600,18.82,18.82,0.3600,370.86,370.86,28,28,NULL
173,Rainbow Lake #1,AB_RLK01_GEN,Rainbow Lake #1,AB_RLK_GEN,Heartland Generation Ltd.,AB,Rainbow Lake,58.448618,-119.238911,480,Alberta.a,Alberta,Rainbow Cogen 850S,AB_850S_GSS,144,2001,2001,2031,,NG_SC,NG_SC,97.00,97.00,1.0000,97.00,97.00,0.3000,254.92,254.92,1,1,NULL
