project_name,connecting_node_code,Province,generation_type,installed_capacity,capacity_adjustment,effective_capacity,capacity_factor,annual_avg_energy,num_of_units,avg_unit_capacity,renewal_year,dam_type,penstock,rated_head,maximum_head,minimum_head,average_flow,rated_discharge_unit,rated_discharge_facility,upstream_reservoir_area,upstream_reservoir_storage,turbine_type,station_flow,lower_storage_name,lower_storage_level,upper_storage_name,upper_storage_level,max_live_storage,minimum_level,maximum_level,initial_level,low_ref_level,high_ref_level,low_volume,high_volume,live_storage,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,other_references,Notes
Units,,,,(MW),(%),(MW),(%),(GWh/year),,,,,(m),(m),(m),(m),(m3/s),(m3/s),(m3/s),(km2),(hours),,(WSC#),,(WSC#),,(WSC#),,(m),(m),(m),(m),(m),(m3),(m3),(m3),(m3/s),(m3/s),(m3/s),(m3/s),(m3/s),(m3/s),(m3/s),(m3/s),(m3/s),(m3/s),(m3/s),(m3/s),,
Pointe du Bois,MB_PDB_GSS,MB,Hydro_daily,33,0.981,32.373,0.806005258,233,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seven Sisters,MB_SVS_GSS,MB,Hydro_daily,165,0.981,161.865,0.702227757,1015,6,,,,,,,,,,,,,,,McArthur Falls,,Seven Sisters,05PF057,,,,,,,,,,,,,,,,,,,,,,,
Slave Falls,MB_SLF_GSS,MB,Hydro_daily,68,0.981,66.708,0.87295192,520,8,,,,,,,,,,,,,,05PF063,Seven Sisters,05PF057,Slave Falls,,,,,,,,,,,,,,,,,,,,,,,,05PF057 not directly below Slave Falls GS
Wuskwatim,MB_WSK_GSS,MB,Hydro_daily,211,0.981,206.991,0.811530221,1500,3,,,,,,,,,,,,,,,,,Wuskwatim Lake,05TF006,,,,,,,,,,,,,,,,,,,,,,,
Jenpeg,MB_JPG_GSS,MB,Hydro_monthly,114,0.981,111.834,0.926259713,925,6,,,,,,,,,,,,,,05UB009,Cross Lake,05UD001,Lake Winnipeg (North),05RF001,,,,,,,,,,,,,,,,,,,,,,,
Kelsey,MB_KLS_GSS,MB,Hydro_monthly,287,0.981,281.547,0.719933814,1810,7,,,,,,,,,,,,,,05UE005,Split Lake,05UF003,Kelsey,,,,,,,,,,,,,,,,,,,,,,,,
Kettle,MB_RDS_CSS,MB,Hydro_monthly,1224,0.981,1200.744,0.664972991,7130,12,,,,,,,,,,,,,,05UF006,Long Spruce,,Stephens Lake,,,,,,,,,,,,,,,,,,,,,,,,
Limestone,MB_LMS_GSS,MB,Hydro_monthly,1350,0.981,1324.35,0.645188568,7630,10,,,,,,,,,,,,,,,Hudson Bay,,Limestone,,,,,,,,,,,,,,,,,,,,,,,,
Long Spruce,MB_LSP_GSS,MB,Hydro_monthly,980,0.981,961.38,0.708228497,6080,10,,,,,,,,,,,,,,05UF007,Limestone,,Long Spruce,,,,,,,,,,,,,,,,,,,,,,,,
Abitibi Canyon,ON_ABC_GSS,ON,hydro_daily,355,0.684308313,242.9294511,0.300578172,934.738,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
