"Scenario","Region","Variable","Year","Value","Sector"
"Canada Net-zero","Alberta","Diesel","2009","196.482600","Transportation"
"Canada Net-zero","Alberta","Diesel","2010","202.548500","Transportation"
"Canada Net-zero","Alberta","Diesel","2011","198.552900","Transportation"
"Canada Net-zero","Alberta","Diesel","2012","203.131200","Transportation"
"Canada Net-zero","Alberta","Diesel","2013","209.003400","Transportation"
"Canada Net-zero","Alberta","Diesel","2014","215.362400","Transportation"
"Canada Net-zero","Alberta","Diesel","2015","181.691900","Transportation"
"Canada Net-zero","Alberta","Diesel","2016","149.741500","Transportation"
"Canada Net-zero","Alberta","Diesel","2017","151.109800","Transportation"
"Canada Net-zero","Alberta","Diesel","2018","158.610200","Transportation"
"Canada Net-zero","Alberta","Diesel","2019","158.946900","Transportation"
"Canada Net-zero","Alberta","Diesel","2020","132.746800","Transportation"
"Canada Net-zero","Alberta","Diesel","2021","133.436400","Transportation"
"Canada Net-zero","Alberta","Diesel","2022","133.027100","Transportation"
"Canada Net-zero","Alberta","Diesel","2023","124.753200","Transportation"
"Canada Net-zero","Alberta","Diesel","2024","125.953500","Transportation"
"Canada Net-zero","Alberta","Diesel","2025","131.254600","Transportation"
"Canada Net-zero","Alberta","Diesel","2026","130.940400","Transportation"
"Canada Net-zero","Alberta","Diesel","2027","132.400800","Transportation"
"Canada Net-zero","Alberta","Diesel","2028","132.910000","Transportation"
"Canada Net-zero","Alberta","Diesel","2029","133.825400","Transportation"
"Canada Net-zero","Alberta","Diesel","2030","130.520400","Transportation"
"Canada Net-zero","Alberta","Diesel","2031","125.154600","Transportation"
"Canada Net-zero","Alberta","Diesel","2032","119.399100","Transportation"
"Canada Net-zero","Alberta","Diesel","2033","112.846500","Transportation"
"Canada Net-zero","Alberta","Diesel","2034","106.169500","Transportation"
"Canada Net-zero","Alberta","Diesel","2035","97.789400","Transportation"
"Canada Net-zero","Alberta","Diesel","2036","89.894800","Transportation"
"Canada Net-zero","Alberta","Diesel","2037","82.022600","Transportation"
"Canada Net-zero","Alberta","Diesel","2038","74.170700","Transportation"
"Canada Net-zero","Alberta","Diesel","2039","66.473000","Transportation"
"Canada Net-zero","Alberta","Diesel","2040","58.858600","Transportation"
"Canada Net-zero","Alberta","Diesel","2041","51.884600","Transportation"
