REGION,TECHNOLOGY,EMISSION,YEAR,VALUE
REGION1,DEMTRADSL,CO2,2041,6.240818000000001
REGION1,DEMTRADSL,CO2,2042,6.268738000000001
REGION1,DEMTRADSL,CO2,2043,6.306429999999999
REGION1,DEMTRADSL,CO2,2044,6.356686
REGION1,DEMTRADSL,CO2,2045,6.420204000000001
REGION1,DEMTRADSL,CO2,2046,6.496286
REGION1,DEMTRADSL,CO2,2047,6.582838
REGION1,DEMTRADSL,CO2,2048,6.677766000000001
REGION1,DEMTRADSL,CO2,2049,6.78107
REGION1,DEMTRADSL,CO2,2050,6.891354000000001
REGION1,DEMTRAHFO,CO2,2021,0.499824
REGION1,DEMTRAHFO,CO2,2022,0.567464
REGION1,DEMTRAHFO,CO2,2023,0.6678560000000001
REGION1,DEMTRAHFO,CO2,2024,0.7547199999999998
REGION1,DEMTRAHFO,CO2,2025,0.7903199999999998
REGION1,DEMTRAHFO,CO2,2026,0.7454640000000001
REGION1,DEMTRAHFO,CO2,2027,0.7006079999999998
REGION1,DEMTRAHFO,CO2,2028,0.6571760000000001
REGION1,DEMTRAHFO,CO2,2029,0.618016
REGION1,DEMTRAHFO,CO2,2030,0.580992
REGION1,DEMTRAHFO,CO2,2031,0.5461039999999999
REGION1,DEMTRAHFO,CO2,2032,0.513352
REGION1,DEMTRAHFO,CO2,2033,0.48344799999999993
REGION1,DEMTRAHFO,CO2,2034,0.456392
REGION1,DEMTRAHFO,CO2,2035,0.432184
REGION1,DEMTRAHFO,CO2,2036,0.408688
REGION1,DEMTRAHFO,CO2,2037,0.3880400000000001
REGION1,DEMTRAHFO,CO2,2038,0.368104
REGION1,DEMTRAHFO,CO2,2039,0.351016
REGION1,DEMTRAHFO,CO2,2040,0.335352
REGION1,DEMTRAHFO,CO2,2041,0.32111199999999995
REGION1,DEMTRAHFO,CO2,2042,0.309008
REGION1,DEMTRAHFO,CO2,2043,0.298328
REGION1,DEMTRAHFO,CO2,2044,0.289072
REGION1,DEMTRAHFO,CO2,2045,0.28195200000000004
REGION1,DEMTRAHFO,CO2,2046,0.275544
REGION1,DEMTRAHFO,CO2,2047,0.27056
REGION1,DEMTRAHFO,CO2,2048,0.267
REGION1,DEMTRAHFO,CO2,2049,0.26415200000000005
REGION1,DEMTRAHFO,CO2,2050,0.262016
REGION1,DEMTRANGS,CO2,2021,0.02816800000000001
REGION1,DEMTRANGS,CO2,2022,0.029677
REGION1,DEMTRANGS,CO2,2023,0.03168900000000001
REGION1,DEMTRANGS,CO2,2024,0.032192000000000005
REGION1,DEMTRANGS,CO2,2025,0.032192000000000005
REGION1,DEMTRANGS,CO2,2026,0.03269500000000001
REGION1,DEMTRANGS,CO2,2027,0.03269500000000001
REGION1,DEMTRANGS,CO2,2028,0.032695
REGION1,DEMTRANGS,CO2,2029,0.032695
REGION1,DEMTRANGS,CO2,2030,0.032695
REGION1,DEMTRANGS,CO2,2031,0.032695
REGION1,DEMTRANGS,CO2,2032,0.032695
REGION1,DEMTRANGS,CO2,2033,0.032695
REGION1,DEMTRANGS,CO2,2034,0.032695
REGION1,DEMTRANGS,CO2,2035,0.032694999999999995
REGION1,DEMTRANGS,CO2,2036,0.032695
REGION1,DEMTRANGS,CO2,2037,0.032695
REGION1,DEMTRANGS,CO2,2038,0.032695
REGION1,DEMTRANGS,CO2,2039,0.032695
REGION1,DEMTRANGS,CO2,2040,0.032695
REGION1,DEMTRANGS,CO2,2041,0.032695
REGION1,DEMTRANGS,CO2,2042,0.032695
REGION1,DEMTRANGS,CO2,2043,0.032695
REGION1,DEMTRANGS,CO2,2044,0.032695
REGION1,DEMTRANGS,CO2,2045,0.032695
REGION1,DEMTRANGS,CO2,2046,0.032695
REGION1,DEMTRANGS,CO2,2047,0.033198000000000005
REGION1,DEMTRANGS,CO2,2048,0.033198000000000005
REGION1,DEMTRANGS,CO2,2049,0.033198000000000005
REGION1,DEMTRANGS,CO2,2050,0.033198000000000005
REGION1,DEMPWRNGS,CO2,2021,0.8148599999999998
REGION1,DEMPWRNGS,CO2,2022,0.8148599999999998
REGION1,DEMPWRNGS,CO2,2023,0.8148599999999997
REGION1,DEMPWRNGS,CO2,2024,0.4345919999999999
REGION1,DEMPWRNGS,CO2,2025,0.434592
REGION1,DEMPWRNGS,CO2,2026,0.05908057711287407
REGION1,DEMPWRNGS,CO2,2027,0.09552639701197696
REGION1,DEMPWRNGS,CO2,2028,0.08640757534760318
REGION1,CCS01,CO2,2026,-6.30719621568
REGION1,CCS01,CO2,2027,-6.307196215680001
REGION1,CCS01,CO2,2028,-6.30719621568
REGION1,CCS01,CO2,2029,-6.30719621568
REGION1,CCS01,CO2,2030,-6.30719621568
REGION1,CCS01,CO2,2031,-6.30719621568
REGION1,CCS01,CO2,2032,-6.307196215680001
REGION1,CCS01,CO2,2033,-6.30719621568
REGION1,CCS01,CO2,2034,-6.30719621568
REGION1,CCS01,CO2,2035,-6.30719621568
REGION1,CCS01,CO2,2036,-6.307196215680001
REGION1,CCS01,CO2,2037,-6.30719621568
REGION1,CCS01,CO2,2038,-6.30719621568
REGION1,CCS01,CO2,2039,-6.30719621568
REGION1,CCS01,CO2,2040,-6.30719621568
REGION1,CCS01,CO2,2041,-6.30719621568
REGION1,CCS01,CO2,2042,-6.307196215680001
REGION1,CCS01,CO2,2043,-6.30719621568
REGION1,CCS01,CO2,2044,-6.30719621568
REGION1,CCS01,CO2,2045,-6.30719621568
REGION1,CCS01,CO2,2046,-6.307196215680001
REGION1,CCS01,CO2,2047,-6.30719621568
REGION1,CCS01,CO2,2048,-6.30719621568
REGION1,CCS01,CO2,2049,-6.30719621568
REGION1,CCS01,CO2,2050,-6.30719621568
