REGION,TIMESLICE,FUEL,YEAR,VALUE
REGION1,5,INDELCB02,2049,20.14276119
REGION1,5,INDELCB02,2050,20.26315806
REGION1,5,RESELCB02,2021,7.99362249
REGION1,5,RESELCB02,2022,8.56033907
REGION1,5,RESELCB02,2023,8.9142329
REGION1,5,RESELCB02,2024,9.13070404
REGION1,5,RESELCB02,2025,9.34474292
REGION1,5,RESELCB02,2026,9.54905276
REGION1,5,RESELCB02,2027,9.74971421
REGION1,5,RESELCB02,2028,9.94307888
REGION1,5,RESELCB02,2029,10.12549838
REGION1,5,RESELCB02,2030,10.30548562
REGION1,5,RESELCB02,2031,10.50249868
REGION1,5,RESELCB02,2032,10.701944
REGION1,5,RESELCB02,2033,10.89530867
REGION1,5,RESELCB02,2034,11.0911056
REGION1,5,RESELCB02,2035,11.28203801
REGION1,5,RESELCB02,2036,11.46567364
REGION1,5,RESELCB02,2037,11.63958023
REGION1,5,RESELCB02,2038,11.80375778
REGION1,5,RESELCB02,2039,11.95577403
REGION1,5,RESELCB02,2040,12.10414189
REGION1,5,RESELCB02,2041,12.25250975
REGION1,5,RESELCB02,2042,12.39722922
REGION1,5,RESELCB02,2043,12.54073256
REGION1,5,RESELCB02,2044,12.68180364
REGION1,5,RESELCB02,2045,12.82530698
REGION1,5,RESELCB02,2046,12.96881032
REGION1,5,RESELCB02,2047,13.11474592
REGION1,5,RESELCB02,2048,13.26554604
REGION1,5,RESELCB02,2049,13.41999455
REGION1,5,RESELCB02,2050,13.57809145
REGION1,5,TRAELCB02,2021,0.08148071
REGION1,5,TRAELCB02,2022,0.12890978
REGION1,5,TRAELCB02,2023,0.21160662
REGION1,5,TRAELCB02,2024,0.34538092
REGION1,5,TRAELCB02,2025,0.52658429
REGION1,5,TRAELCB02,2026,0.72602961
REGION1,5,TRAELCB02,2027,0.9242588
REGION1,5,TRAELCB02,2028,1.12127186
REGION1,5,TRAELCB02,2029,1.31950105
REGION1,5,TRAELCB02,2030,1.51286572
REGION1,5,TRAELCB02,2031,1.6904207
REGION1,5,TRAELCB02,2032,1.87892085
REGION1,5,TRAELCB02,2033,2.07228552
REGION1,5,TRAELCB02,2034,2.27051471
REGION1,5,TRAELCB02,2035,2.47360842
REGION1,5,TRAELCB02,2036,2.6633247
REGION1,5,TRAELCB02,2037,2.83966355
REGION1,5,TRAELCB02,2038,3.00140884
REGION1,5,TRAELCB02,2039,3.15099283
REGION1,5,TRAELCB02,2040,3.29206391
REGION1,5,TRAELCB02,2041,3.42462208
REGION1,5,TRAELCB02,2042,3.5510996
REGION1,5,TRAELCB02,2043,3.67028034
REGION1,5,TRAELCB02,2044,3.78581269
REGION1,5,TRAELCB02,2045,3.89648052
REGION1,5,TRAELCB02,2046,4.00471609
REGION1,5,TRAELCB02,2047,4.11173553
